2/12/2016
3:59 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,1018 Cold Rolled
Sample width [inch]:,0.496000
Sample thickness [inch]:,0.124000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.01015,4692.5
0.01017,4695.7
0.01021,4698.3
0.01024,4700.9
0.01026,4704.5
0.01032,4707.1
0.01033,4709.3
0.01037,4713.8
0.01040,4716.1
0.01042,4719.0
0.01046,4720.6
0.01049,4723.5
0.01054,4726.2
0.01057,4728.4
0.01059,4731.9
0.01062,4734.5
0.01067,4737.6
0.01069,4739.9
0.01074,4742.7
0.01077,4745.6
0.01079,4747.6
0.01084,4750.7
0.01086,4753.4
0.01090,4756.1
0.01094,4759.5
0.01099,4762.1
0.01100,4763.6
0.01105,4766.2
0.01109,4769.7
0.01112,4771.4
0.01115,4774.1
0.01119,4776.2
0.01124,4778.5
0.01128,4782.1
0.01132,4783.6
0.01136,4786.6
0.01141,4789.1
0.01145,4791.3
0.01147,4793.3
0.01152,4796.0
0.01156,4798.5
0.01160,4800.3
0.01167,4803.2
0.01169,4806.9
0.01173,4809.3
0.01179,4811.1
0.01182,4812.7
0.01186,4815.7
0.01190,4816.1
0.01195,4819.6
0.01201,4821.8
0.01205,4823.1
0.01209,4824.8
0.01215,4826.8
0.01217,4828.9
0.01222,4830.8
0.01228,4833.1
0.01232,4834.8
0.01237,4836.8
0.01241,4839.1
0.01246,4840.2
0.01252,4843.1
0.01256,4844.5
0.01261,4846.5
0.01266,4847.6
0.01270,4850.5
0.01277,4851.3
0.01281,4852.8
0.01286,4854.6
0.01291,4855.7
0.01295,4856.2
0.01303,4857.8
0.01306,4859.7
0.01310,4860.5
0.01315,4862.0
0.01322,4862.9
0.01324,4863.6
0.01330,4864.6
0.01334,4864.7
0.01338,4866.3
0.01345,4866.2
0.01348,4867.9
0.01354,4868.4
0.01358,4869.3
0.01360,4870.0
0.01366,4871.7
0.01372,4872.0
0.01375,4873.3
0.01380,4873.1
0.01385,4876.4
0.01392,4877.0
0.01397,4878.5
0.01401,4878.6
0.01406,4880.3
0.01410,4881.6
0.01415,4883.2
0.01421,4883.6
0.01425,4884.5
